Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-07-26 11:59:30	17351.656	-7023.436	-13970.267
2010-07-27 11:59:30	17350.748	-7023.384	-13969.417
2010-07-28 11:59:30	17349.258	-7022.289	-13972.599
2010-07-29 11:59:30	17352.803	-7026.515	-13971.745
2010-07-30 11:59:30	17353.324	-7027.122	-13972.817
2010-07-31 11:59:30	17353.502	-7024.909	-13975.47
2010-08-01 11:59:30	17350.095	-7020.385	-13974.609
2010-08-02 11:59:30	17353.584	-7022.672	-13978.337
2010-08-03 11:59:30	17343.544	-7021.449	-13974.053
2010-08-04 11:59:30	17336.917	-7025.059	-13980.394
2010-08-05 11:59:30	17346.181	-7021.29	-13971.434
2010-08-06 11:59:30	17344.345	-7021.718	-13974.001
2010-08-07 11:59:30	17346.165	-7019.711	-13975.736
2010-08-08 11:59:30	17346.786	-7018.428	-13975.856
2010-08-09 11:59:30	17345.649	-7025.238	-13975.855
2010-08-10 11:59:30	17347.32	-7021.244	-13977.538
2010-08-11 11:59:30	17348.334	-7021.737	-13979.313
2010-08-12 11:59:30	17348.446	-7021.906	-13979.534
2010-08-13 11:59:30	17346.147	-7021.648	-13980.123
2010-08-14 11:59:30	17347.075	-7022.671	-13977.604
2010-08-15 11:59:30	17348.18	-7020.895	-13979.419
2010-08-16 11:59:30	17343.157	-7019.512	-13980.525
2010-08-17 11:59:30	17344.261	-7020.977	-13979.881
2010-08-18 11:59:30	17343.826	-7017.835	-13979.071
2010-08-19 11:59:30	17347.482	-7019.115	-13979.624
2010-08-20 11:59:30	17347.816	-7021.409	-13980.429
2010-08-21 11:59:30	17347.092	-7020.201	-13981.284
2010-08-22 11:59:30	17347.405	-7022.103	-13982.116
2010-08-23 11:59:30	17346.185	-7023.738	-13977.57
2010-08-24 11:59:30	17339.922	-7025.943	-13984.526
2010-08-25 11:59:30	17346.687	-7024.661	-13983.558
2010-08-26 11:59:30	17341.682	-7020.37	-13982.259
2010-08-27 11:59:30	17341.542	-7017.154	-13980.633
2010-08-28 11:59:30	17342.158	-7023.087	-13987.411
2010-08-29 11:59:30	17344.789	-7019.911	-13986.825
2010-08-30 11:59:30	17347.648	-7020.833	-13985.3
2010-08-31 11:59:30	17345.323	-7025.284	-13985.043
2010-09-01 11:59:30	17343.035	-7021.866	-13981.62
2010-09-02 11:59:30	17344.994	-7021.936	-13984.53
2010-09-03 11:59:30	17340.014	-7019.743	-13986.248
2010-09-04 11:59:30	17340.284	-7022.365	-13984.54
2010-09-05 11:59:30	17345.239	-7023.938	-13983.478
2010-09-06 11:59:30	17345.631	-7023.389	-13982.742
